Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Latitude,Longitude,Average Annual Temperature
Montenegro,Central and Eastern Europe,5.58,0.05,5.69,5.48,9.94,8.6,68.7,7.1,4.699999999999999,8.100000000000001,2.43,1.16,0.89,0.64,0.4,0.17,0.08,2.25,42.710152,19.41007,11
Dominican Republic,Latin America and Caribbean,5.540000000000001,0.07,5.68,5.4,9.8,8.5,66.1,8.6,3.7,7.1,2.43,1.11,0.88,0.56,0.58,0.1,0.14,2.18,19.0974031,-70.3028026,25
Northern Cyprus,Western Europe,5.540000000000001,0.05,5.64,5.44,10.58,8.2,73.9,8.0,5.1,6.3,2.43,1.38,0.81,0.8,0.5,0.2,0.2,1.65,35.2245313,33.6252379,18
Belarus,Commonwealth of Independent States,5.53,0.05,5.62,5.44,9.85,9.1,66.25,6.5,3.2,6.3,2.43,1.12,1.01,0.56,0.33,0.07,0.2,2.25,53.4250605,27.6971358,6
Russia,Commonwealth of Independent States,5.48,0.03,5.54,5.41,10.19,9.0,64.7,7.199999999999999,3.9000000000000004,8.4,2.43,1.24,0.99,0.51,0.41,0.12,0.06,2.15,61.524,105.3188,-5
Hong Kong S.A.R.,East Asia,5.48,0.05,5.57,5.38,11.0,8.4,76.82,7.199999999999999,5.700000000000001,4.0,2.43,1.52,0.84,0.89,0.41,0.23,0.34,1.24,34.668138,104.165802,7
Tajikistan,Commonwealth of Independent States,5.469999999999999,0.03,5.53,5.4,8.09,8.6,64.28,8.299999999999999,4.4,5.5,2.43,0.51,0.9,0.5,0.55,0.15,0.25,2.62,38.6281733,70.8156541,2
Vietnam,Southeast Asia,5.41,0.04,5.49,5.33,8.97,8.5,68.03,9.399999999999999,4.0,8.0,2.43,0.82,0.87,0.62,0.68,0.12,0.09,2.21,15.9266657,107.9650855,24
Libya,Middle East and North Africa,5.41,0.08,5.56,5.26,9.62,8.299999999999999,62.3,7.7,4.1000000000000005,6.7,2.43,1.04,0.82,0.44,0.47,0.13,0.17,2.33,26.8234472,18.1236723,22
Malaysia,Southeast Asia,5.380000000000001,0.05,5.48,5.29,10.24,8.2,67.1,9.0,6.2,8.4,2.43,1.26,0.8,0.59,0.62,0.27,0.06,1.78,4.10932,109.455475,25
Indonesia,Southeast Asia,5.34,0.06,5.45,5.24,9.36,8.100000000000001,62.24,8.7,10.4,8.7,2.43,0.95,0.79,0.43,0.6,0.54,0.05,1.99,-2.4833826,117.8902853,26
Republic of Congo,Sub-Saharan Africa,5.34,0.1,5.53,5.15,8.12,6.4,58.22,7.0,4.3,7.4,2.43,0.52,0.39,0.31,0.38,0.14,0.12,3.48,-0.7264327,15.6419155,24
China,East Asia,5.34,0.03,5.4,5.28,9.67,8.100000000000001,69.59,9.0,3.5,7.6,2.43,1.06,0.78,0.66,0.64,0.09,0.12,1.98,34.668138,104.165802,7
Ivory Coast,Sub-Saharan Africa,5.309999999999999,0.08,5.46,5.15,8.55,6.4,50.11,7.4,4.8,7.9,2.43,0.67,0.41,0.05,0.44,0.18,0.09,3.47,7.9897371,-5.5679458,26
Armenia,Commonwealth of Independent States,5.28,0.06,5.4,5.17,9.49,8.0,67.06,8.2,3.3,6.3,2.43,1.0,0.76,0.58,0.54,0.08,0.2,2.13,40.06618,45.111108,7
Nepal,South Asia,5.27,0.07,5.41,5.13,8.12,7.7,64.23,7.800000000000001,6.5,7.3,2.43,0.52,0.7,0.5,0.49,0.29,0.14,2.64,28.395056,84.127804,8
Bulgaria,Central and Eastern Europe,5.27,0.05,5.37,5.16,10.02,9.3,67.0,7.9,4.0,9.3,2.43,1.18,1.06,0.58,0.49,0.12,0.0,1.82,42.729862,25.491667,11
Maldives,South Asia,5.2,0.07,5.34,5.06,9.83,9.1,70.6,8.5,5.2,8.2,2.43,1.12,1.01,0.7,0.57,0.2,0.07,1.52,3.7203503,73.2244152,28
Azerbaijan,Commonwealth of Independent States,5.17,0.04,5.25,5.09,9.57,8.4,65.66,8.100000000000001,2.8000000000000003,5.1,2.43,1.02,0.84,0.54,0.53,0.04,0.28,1.92,40.3936294,47.7872508,12
Cameroon,Sub-Saharan Africa,5.140000000000001,0.07,5.29,5.0,8.19,7.1,53.52,7.3,5.300000000000001,8.5,2.43,0.54,0.56,0.16,0.42,0.2,0.06,3.2,4.6125522,13.1535811,25
Senegal,Sub-Saharan Africa,5.13,0.07,5.27,5.0,8.12,7.1,59.8,7.0,4.5,8.0,2.43,0.52,0.56,0.36,0.38,0.16,0.09,3.07,14.4750607,-14.4529612,28
Albania,Central and Eastern Europe,5.12,0.06,5.23,5.0,9.52,7.0,69.0,7.800000000000001,4.699999999999999,9.0,2.43,1.01,0.53,0.65,0.49,0.17,0.02,2.25,41.156986,20.181222,11
Macedonia,Central and Eastern Europe,5.1,0.05,5.2,5.0,9.69,8.0,65.47,7.5,5.4,9.0,2.43,1.07,0.77,0.54,0.45,0.21,0.02,2.04,41.6171214,21.7168387,10
Ghana,Sub-Saharan Africa,5.09,0.07,5.22,4.96,8.58,7.3,57.59,8.100000000000001,6.2,8.5,2.43,0.68,0.6,0.29,0.52,0.27,0.06,2.68,8.0300284,-1.0800271,27
Niger,Sub-Saharan Africa,5.07,0.1,5.27,4.88,7.1,6.4,53.78,8.100000000000001,5.2,6.8999999999999995,2.43,0.16,0.4,0.17,0.52,0.2,0.16,3.47,17.7356214,9.3238432,27
Turkmenistan,Commonwealth of Independent States,5.07,0.04,5.14,5.0,9.63,9.8,62.41,8.8,7.7,8.9,2.43,1.05,1.17,0.44,0.6,0.37,0.03,1.41,39.3763807,59.3924609,15
Gambia,Sub-Saharan Africa,5.05,0.09,5.22,4.88,7.69,6.8999999999999995,55.16,7.0,9.2,7.5,2.43,0.37,0.51,0.21,0.38,0.46,0.12,2.99,13.470062,-15.4900464,28
Benin,Sub-Saharan Africa,5.04,0.07,5.19,4.9,8.09,4.9,54.71,7.6,4.699999999999999,6.6000000000000005,2.43,0.51,0.06,0.2,0.46,0.17,0.18,3.48,9.5293472,2.2584408,28
Laos,Southeast Asia,5.03,0.04,5.12,4.94,8.95,7.3,58.97,9.1,6.2,6.6000000000000005,2.43,0.81,0.6,0.33,0.64,0.27,0.18,2.2,18.205208,103.895042,23
Bangladesh,South Asia,5.03,0.05,5.12,4.93,8.45,6.8999999999999995,64.8,8.8,4.6000000000000005,6.800000000000001,2.43,0.64,0.52,0.51,0.6,0.16,0.16,2.43,23.684994,90.356331,25
Guinea,Sub-Saharan Africa,4.98,0.09,5.16,4.81,7.84,6.4,55.01,7.0,6.0,7.7,2.43,0.42,0.4,0.21,0.38,0.25,0.11,3.22,10.7226226,-10.7083587,26
South Africa,Sub-Saharan Africa,4.96,0.06,5.07,4.84,9.4,8.6,56.9,7.5,4.3,8.6,2.43,0.97,0.9,0.26,0.45,0.14,0.05,2.19,-28.8166236,24.991639,18
Turkey,Middle East and North Africa,4.95,0.05,5.04,4.86,10.24,8.2,67.2,5.8,3.5999999999999996,7.800000000000001,2.43,1.26,0.81,0.59,0.24,0.1,0.1,1.85,38.9597594,34.9249653,11
Pakistan,South Asia,4.93,0.07,5.07,4.8,8.46,6.5,58.71,7.3,6.0,7.9,2.43,0.64,0.42,0.32,0.42,0.25,0.1,2.78,30.3308401,71.247499,20
Morocco,Middle East and North Africa,4.92,0.06,5.04,4.8,8.9,5.6000000000000005,66.21,7.7,2.6,8.0,2.43,0.79,0.22,0.56,0.48,0.03,0.09,2.75,28.3347722,-10.371337908392647,17
Venezuela,Latin America and Caribbean,4.89,0.06,5.02,4.77,9.07,8.6,66.7,6.2,3.3,8.299999999999999,2.43,0.85,0.9,0.57,0.28,0.08,0.07,2.13,8.0018709,-66.1109318,25
Georgia,Commonwealth of Independent States,4.89,0.05,5.0,4.78,9.59,6.7,64.3,7.800000000000001,2.6,6.6000000000000005,2.43,1.03,0.47,0.5,0.49,0.03,0.18,2.19,42.3154,43.3569,6
Algeria,Middle East and North Africa,4.89,0.05,4.99,4.78,9.34,8.0,66.0,4.8,4.3,7.5,2.43,0.95,0.76,0.55,0.12,0.14,0.12,2.24,28.0000272,2.9999825,23
Ukraine,Commonwealth of Independent States,4.88,0.05,4.98,4.77,9.44,8.9,64.9,7.199999999999999,4.9,9.200000000000001,2.43,0.98,0.96,0.52,0.42,0.18,0.01,1.81,49.4871968,31.2718321,7
Iraq,Middle East and North Africa,4.85,0.06,4.97,4.74,9.24,7.5,60.58,6.3,4.5,8.8,2.43,0.91,0.64,0.38,0.3,0.15,0.04,2.43,33.0955793,44.1749775,21
Gabon,Sub-Saharan Africa,4.85,0.08,5.0,4.71,9.6,7.800000000000001,59.96,7.3,3.0,8.4,2.43,1.04,0.71,0.36,0.42,0.06,0.06,2.2,-0.8999695,11.6899699,25
Burkina Faso,Sub-Saharan Africa,4.83,0.08,4.99,4.68,7.68,6.7,54.15,7.0,4.9,7.5,2.43,0.36,0.47,0.18,0.38,0.18,0.12,3.13,12.0753083,-1.6880314,28
Cambodia,Southeast Asia,4.83,0.07,4.96,4.7,8.36,7.6,62.0,9.6,5.300000000000001,8.4,2.43,0.6,0.68,0.43,0.7,0.21,0.06,2.15,12.565679,104.990963,27
Mozambique,Sub-Saharan Africa,4.79,0.1,5.0,4.59,7.16,7.4,54.71,8.8,5.6000000000000005,6.800000000000001,2.43,0.18,0.63,0.2,0.61,0.23,0.16,2.78,-19.302233,34.9144977,24
Nigeria,Sub-Saharan Africa,4.76,0.05,4.86,4.66,8.53,7.4,50.1,7.4,5.4,8.8,2.43,0.66,0.62,0.05,0.43,0.21,0.04,2.74,9.6000359,7.9999721,27
Mali,Sub-Saharan Africa,4.72,0.08,4.88,4.56,7.74,7.199999999999999,51.97,7.0,4.6000000000000005,8.299999999999999,2.43,0.39,0.59,0.11,0.38,0.16,0.07,3.02,16.3700359,-2.2900239,28
Iran,Middle East and North Africa,4.72,0.06,4.83,4.61,9.58,7.1,66.3,6.1,7.199999999999999,7.1,2.43,1.03,0.56,0.56,0.28,0.33,0.14,1.82,32.420653,53.682375,17
Uganda,Sub-Saharan Africa,4.64,0.07,4.78,4.49,7.68,7.800000000000001,56.1,7.1,6.2,8.6,2.43,0.36,0.72,0.24,0.4,0.27,0.05,2.6,1.5333554,32.2166578,23
Liberia,Sub-Saharan Africa,4.62,0.11,4.83,4.42,7.29,7.199999999999999,56.5,7.4,5.5,8.5,2.43,0.23,0.58,0.25,0.43,0.22,0.06,2.86,5.7499721,-9.3658524,25
Kenya,Sub-Saharan Africa,4.61,0.07,4.75,4.47,8.36,6.8999999999999995,60.7,7.800000000000001,7.9,8.2,2.43,0.6,0.51,0.38,0.48,0.38,0.07,2.18,1.4419683,38.4313975,25
Tunisia,Middle East and North Africa,4.6,0.06,4.71,4.48,9.27,6.8999999999999995,67.2,6.6000000000000005,3.0,8.7,2.43,0.92,0.52,0.59,0.33,0.06,0.04,2.14,36.8002068,10.1857757,19
Lebanon,Middle East and North Africa,4.58,0.06,4.69,4.48,9.63,8.5,67.36,5.2,4.3,9.0,2.43,1.04,0.87,0.6,0.18,0.14,0.03,1.74,33.8547,35.8623,16
Namibia,Sub-Saharan Africa,4.57,0.06,4.7,4.45,9.16,8.2,56.8,7.199999999999999,3.5,8.5,2.43,0.88,0.8,0.26,0.41,0.09,0.06,2.07,-23.2335499,17.3231107,20
Palestine,Middle East and North Africa,4.52,0.07,4.65,4.38,8.48,8.299999999999999,62.25,6.5,3.3999999999999995,8.2,2.43,0.65,0.82,0.43,0.33,0.08,0.08,2.13,31.762963620549996,34.9384953773143,21
Myanmar,Southeast Asia,4.43,0.05,4.53,4.32,8.54,7.800000000000001,59.3,8.8,10.1,6.6000000000000005,2.43,0.67,0.71,0.34,0.6,0.52,0.18,1.41,22.0452303,96.4514694,25
Jordan,Middle East and North Africa,4.39,0.06,4.52,4.27,9.18,7.7,67.0,7.6,3.3,7.0,2.43,0.89,0.68,0.58,0.46,0.08,0.15,1.55,32.3635964,35.561242,18
Chad,Sub-Saharan Africa,4.36,0.09,4.54,4.17,7.36,6.2,48.48,5.8,5.4,8.100000000000001,2.43,0.26,0.35,0.0,0.24,0.22,0.08,3.21,15.6134137,19.0156172,27
Sri Lanka,South Asia,4.32,0.07,4.45,4.2,9.47,8.299999999999999,67.3,8.4,5.8,8.6,2.43,0.99,0.82,0.59,0.56,0.24,0.05,1.08,7.5554942,80.7137847,27
Swaziland,Sub-Saharan Africa,4.31,0.07,4.45,4.17,9.06,7.7,50.83,6.5,3.2,7.1,2.43,0.85,0.69,0.07,0.32,0.07,0.15,2.15,-26.5624806,31.3991317,23
Comoros,Sub-Saharan Africa,4.29,0.08,4.45,4.12,8.03,6.3,57.35,5.5,5.8,7.800000000000001,2.43,0.49,0.37,0.28,0.2,0.24,0.1,2.61,-12.2045176,44.2832964,26
Egypt,Middle East and North Africa,4.28,0.04,4.37,4.2,9.37,7.5,62.0,7.5,3.2,8.0,2.43,0.95,0.65,0.43,0.45,0.07,0.09,1.65,26.8206,30.8025,22
Ethiopia,Sub-Saharan Africa,4.28,0.05,4.37,4.18,7.69,7.6,59.0,7.5,5.8,7.6,2.43,0.37,0.68,0.33,0.45,0.24,0.11,2.09,9.145,40.489673,22
Mauritania,Sub-Saharan Africa,4.23,0.07,4.36,4.09,8.54,8.0,57.16,5.6000000000000005,3.9000000000000004,7.3,2.43,0.67,0.75,0.27,0.22,0.12,0.13,2.07,21.00681,-10.947097,28
Madagascar,Sub-Saharan Africa,4.21,0.07,4.35,4.07,7.4,6.8999999999999995,59.3,5.5,5.0,8.0,2.43,0.27,0.5,0.34,0.21,0.18,0.09,2.62,-18.9249604,46.4416422,23
Togo,Sub-Saharan Africa,4.11,0.08,4.26,3.96,7.36,5.699999999999999,54.91,6.2,5.300000000000001,7.7,2.43,0.25,0.24,0.2,0.29,0.21,0.11,2.81,8.7800265,1.0199765,27
Zambia,Sub-Saharan Africa,4.07,0.07,4.21,3.94,8.14,7.1,55.81,7.800000000000001,5.6000000000000005,8.2,2.43,0.53,0.55,0.23,0.49,0.23,0.07,1.98,-14.5189121,27.5589884,21
Sierra Leone,Sub-Saharan Africa,3.85,0.08,4.0,3.7,7.43,6.3,51.65,7.199999999999999,5.8,8.7,2.43,0.28,0.38,0.1,0.41,0.24,0.05,2.4,8.6400349,-11.8400269,26
India,South Asia,3.8200000000000003,0.03,3.87,3.77,8.76,6.0,60.63,8.9,5.8999999999999995,7.7,2.43,0.74,0.32,0.38,0.62,0.25,0.11,1.4,22.3511148,78.6677428,24
Burundi,Sub-Saharan Africa,3.7800000000000002,0.11,3.98,3.56,6.64,4.9,53.4,6.3,4.8,6.1,2.43,0.0,0.06,0.16,0.3,0.17,0.21,2.88,-3.426449,29.9324519,20
Yemen,Middle East and North Africa,3.66,0.07,3.79,3.52,7.58,8.299999999999999,57.12,6.0,3.5,8.0,2.43,0.33,0.83,0.27,0.27,0.09,0.09,1.78,16.3471243,47.8915271,23
United Republic of Tanzania,Sub-Saharan Africa,3.62,0.07,3.76,3.48,7.88,7.0,58.0,8.299999999999999,6.799999999999999,5.8,2.43,0.43,0.54,0.3,0.55,0.31,0.23,1.26,-6.5247123,35.7878438,25
Haiti,Latin America and Caribbean,3.62,0.17,3.95,3.28,7.48,5.4,55.7,5.8999999999999995,9.2,7.199999999999999,2.43,0.29,0.17,0.23,0.26,0.46,0.14,2.06,19.1399952,-72.3570972,25
Malawi,Sub-Saharan Africa,3.5999999999999996,0.09,3.78,3.42,6.96,5.4,57.95,7.800000000000001,5.4,7.3,2.43,0.11,0.17,0.3,0.48,0.21,0.13,2.19,-13.2687204,33.9301963,22
Lesotho,Sub-Saharan Africa,3.51,0.12,3.75,3.28,7.93,7.9,48.7,7.199999999999999,3.7,9.200000000000001,2.43,0.45,0.73,0.01,0.4,0.1,0.02,1.8,-29.6039267,28.3350193,12
Botswana,Sub-Saharan Africa,3.47,0.07,3.61,3.32,9.78,7.800000000000001,59.27,8.2,2.5,8.0,2.43,1.1,0.72,0.34,0.54,0.03,0.09,0.65,-23.1681782,24.5928742,22
Rwanda,Sub-Saharan Africa,3.42,0.07,3.55,3.28,7.68,5.5,61.4,9.0,5.6000000000000005,1.7000000000000002,2.43,0.36,0.2,0.41,0.63,0.23,0.49,1.1,-1.9646631,30.0644358,18
Zimbabwe,Sub-Saharan Africa,3.14,0.06,3.26,3.03,7.94,7.5,56.2,6.800000000000001,4.5,8.2,2.43,0.46,0.65,0.24,0.36,0.16,0.08,1.2,-18.4554963,29.7468414,21
Afghanistan,South Asia,2.52,0.04,2.6,2.45,7.7,4.6000000000000005,52.49,3.8,4.0,9.200000000000001,2.43,0.37,0.0,0.13,0.0,0.12,0.01,1.9,33.7680065,66.2385139,13
